"game_id","team","def_int","def_int_td","sacks","fumbles_rec","fumbles_rec_td","blocked_kick","safety","def_two_point_conv","total_ret_td","Team_abbrev","Opponent_abbrev","Opponent_score","points_allowed_0","points_allowed_1_6","points_allowed_7_13","points_allowed_14_20","points_allowed_21_27","points_allowed_28_34","points_allowed_35","Total_DKP","Total_FDP","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"201909050chi","CHI",0,0,5,0,0,0,0,0,0,"CHI","GNB",10,0,0,1,0,0,0,0,9,9,"GNB","CHI",10,3,"False","outdoors","grass",65,69,10,-3.5,"CHI",47,2019-09-05
"201909050chi","GNB",1,0,5,0,0,0,0,0,0,"GNB","CHI",3,0,1,0,0,0,0,0,14,14,"GNB","CHI",10,3,"False","outdoors","grass",65,69,10,-3.5,"CHI",47,2019-09-05
"201909080car","LAR",1,0,3,2,0,0,0,0,0,"LAR","CAR",27,0,0,0,0,1,0,0,9,9,"LAR","CAR",30,27,"False","outdoors","grass",87,53,3,-1.5,"LAR",49.5,2019-09-08
"201909080car","CAR",1,0,1,0,0,1,0,0,0,"CAR","LAR",30,0,0,0,0,0,1,0,4,4,"LAR","CAR",30,27,"False","outdoors","grass",87,53,3,-1.5,"LAR",49.5,2019-09-08
"201909080cle","CLE",0,0,4,0,0,0,0,0,0,"CLE","TEN",43,0,0,0,0,0,0,1,0,0,"TEN","CLE",43,13,"False","outdoors","grass",71,55,10,-5.5,"CLE",44,2019-09-08
"201909080cle","TEN",3,1,5,0,0,0,1,0,0,"TEN","CLE",13,0,0,1,0,0,0,0,23,23,"TEN","CLE",43,13,"False","outdoors","grass",71,55,10,-5.5,"CLE",44,2019-09-08
"201909080crd","DET",1,0,5,0,0,0,0,0,0,"DET","ARI",27,0,0,0,0,1,0,0,7,7,"DET","ARI",27,27,"True","retractable roof (closed)","grass",72,45,0,-2.5,"DET",45.5,2019-09-08
"201909080crd","ARI",0,0,3,1,0,0,0,0,0,"ARI","DET",27,0,0,0,0,1,0,0,5,5,"DET","ARI",27,27,"True","retractable roof (closed)","grass",72,45,0,-2.5,"DET",45.5,2019-09-08
"201909080dal","DAL",0,0,1,2,0,0,0,0,0,"DAL","NYG",17,0,0,0,1,0,0,0,6,6,"NYG","DAL",17,35,"False","retractable roof (closed)","fieldturf",72,45,0,-7,"DAL",44,2019-09-08
"201909080dal","NYG",0,0,0,0,0,0,0,0,0,"NYG","DAL",35,0,0,0,0,0,0,1,-4,-4,"NYG","DAL",17,35,"False","retractable roof (closed)","fieldturf",72,45,0,-7,"DAL",44,2019-09-08
"201909080jax","JAX",0,0,0,0,0,0,0,0,0,"JAX","KAN",40,0,0,0,0,0,0,1,-4,-4,"KAN","JAX",40,26,"False","outdoors","grass",91,54,6,-3.5,"KAN",49,2019-09-08
"201909080jax","KAN",1,0,1,1,0,0,0,0,0,"KAN","JAX",26,0,0,0,0,1,0,0,5,5,"KAN","JAX",40,26,"False","outdoors","grass",91,54,6,-3.5,"KAN",49,2019-09-08
