"game_id","Off_abbrev","Def_abbrev","fga","fgm","xpa","xpm","fga_0_39","fgm_0_39","fga_40_49","fgm_40_49","fga_50","fgm_50","player","Total_DKP","Total_FDP","Total_SDP","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"201909050chi","CHI","GNB",1,1,0,0,1,1,0,0,0,0,"Eddy Pineiro",3,3,3,"GNB","CHI",10,3,"False","outdoors","grass",65,69,10,-3.5,"CHI",47,2019-09-05
"201909050chi","GNB","CHI",1,1,1,1,1,1,0,0,0,0,"Mason Crosby",4,4,4,"GNB","CHI",10,3,"False","outdoors","grass",65,69,10,-3.5,"CHI",47,2019-09-05
"201909080car","CAR","LAR",3,2,3,3,0,0,1,1,2,1,"Joey Slye",12,12,12,"LAR","CAR",30,27,"False","outdoors","grass",87,53,3,-1.5,"LAR",49.5,2019-09-08
"201909080car","LAR","CAR",4,3,3,3,1,1,2,1,1,1,"Greg Zuerlein",15,15,15,"LAR","CAR",30,27,"False","outdoors","grass",87,53,3,-1.5,"LAR",49.5,2019-09-08
"201909080cle","TEN","CLE",2,2,5,5,1,1,0,0,1,1,"Cairo Santos",13,13,13,"TEN","CLE",43,13,"False","outdoors","grass",71,55,10,-5.5,"CLE",44,2019-09-08
"201909080cle","0","0",0,0,2,1,0,0,0,0,0,0,"Austin Seibert",1,1,1,"TEN","CLE",43,13,"False","outdoors","grass",71,55,10,-5.5,"CLE",44,2019-09-08
"201909080crd","ARI","DET",4,4,1,1,3,3,1,1,0,0,"Zane Gonzalez",14,14,14,"DET","ARI",27,27,"True","retractable roof (closed)","grass",72,45,0,-2.5,"DET",45.5,2019-09-08
"201909080crd","DET","ARI",2,2,3,3,1,1,0,0,1,1,"Matt Prater",11,11,11,"DET","ARI",27,27,"True","retractable roof (closed)","grass",72,45,0,-2.5,"DET",45.5,2019-09-08
"201909080dal","0","0",0,0,5,5,0,0,0,0,0,0,"Brett Maher",5,5,5,"NYG","DAL",17,35,"False","retractable roof (closed)","fieldturf",72,45,0,-7,"DAL",44,2019-09-08
"201909080dal","NYG","DAL",1,1,2,2,1,1,0,0,0,0,"Aldrick Rosas",5,5,5,"NYG","DAL",17,35,"False","retractable roof (closed)","fieldturf",72,45,0,-7,"DAL",44,2019-09-08
"201909080jax","KAN","JAX",4,4,4,4,3,3,1,1,0,0,"Harrison Butker",17,17,17,"KAN","JAX",40,26,"False","outdoors","grass",91,54,6,-3.5,"KAN",49,2019-09-08
"201909080jax","JAX","KAN",2,2,2,2,2,2,0,0,0,0,"Josh Lambo",8,8,8,"KAN","JAX",40,26,"False","outdoors","grass",91,54,6,-3.5,"KAN",49,2019-09-08
